file,null,alt,df,lrt,pval,note
OG0007114,bsA1,bsA,1,13.685900000000402,0.00021607068751261505,
OG0008733,bsA1,bsA,1,0.17846199999985402,0.6726983185597212,
OG0010060,bsA1,bsA,1,5.854119999999966,0.01554062665283129,
OG0010676,bsA1,bsA,1,0.0,1.0,
OG0007798,bsA1,bsA,1,25.012434000000212,5.696178962955045e-07,
OG0007175,bsA1,bsA,1,15.87972400000217,6.749799178418225e-05,
OG0005696,bsA1,bsA,1,3.501774000000296,0.06130312893695422,
OG0007841,bsA1,bsA,1,10.75662199999988,0.0010390686172657704,
OG0012505,bsA1,bsA,1,48.0000480000017,4.2620351692335134e-12,
OG0014110,bsA1,bsA,1,4.394384000001082,0.03605748330675551,
OG0007294,bsA1,bsA,1,0.00029400000130408444,0.9863197999694653,
OG0013724,bsA1,bsA,1,,,lnl1 < lnl0
OG0011896,bsA1,bsA,1,24.808665999999903,6.331218838084851e-07,
OG0008857,bsA1,bsA,1,0.0004899999998997373,0.9823395146324143,
OG0014053,bsA1,bsA,1,,,lnl1 < lnl0
OG0013128,bsA1,bsA,1,0.0,1.0,
OG0007847,bsA1,bsA,1,181.79584400000022,0.0,
OG0006242,bsA1,bsA,1,1.7299800000000687,0.1884134517587026,
OG0009155,bsA1,bsA,1,0.0,1.0,
OG0006139,bsA1,bsA,1,0.7594920000010461,0.3834875467050879,
OG0007826,bsA1,bsA,1,1.3640379999997094,0.24283888504898976,
OG0006905,bsA1,bsA,1,0.0,1.0,
OG0006090,bsA1,bsA,1,2.171962000000349,0.14054681906761912,
OG0008743,bsA1,bsA,1,31.819501999999375,1.6918543788158047e-08,
OG0007890,bsA1,bsA,1,607.6064760000008,0.0,
OG0013846,bsA1,bsA,1,3.102813999999853,0.07815708910843044,
OG0008781,bsA1,bsA,1,0.894560000000638,0.3442445753974105,
OG0011527,bsA1,bsA,1,3.527516000000105,0.06035815117992149,
OG0006051,bsA1,bsA,1,1.0000001566368155e-05,0.9974768714855877,
OG0011367,bsA1,bsA,1,163.511622,0.0,
OG0008880,bsA1,bsA,1,1.3645140000007814,0.24275669539827616,
OG0008605,bsA1,bsA,1,63.51586600000155,1.5543122344752192e-15,
OG0005477,bsA1,bsA,1,0.0,1.0,
OG0006737,bsA1,bsA,1,19.147299999998722,1.2100855520280618e-05,
OG0012810,bsA1,bsA,1,1.3842420000000857,0.23937989993077313,
