Orthogroup	Duplications (all)	Duplications (50% support)
OG0000601	1	1
OG0000602	2	1
OG0000603	5	2
OG0000604	2	2
OG0000605	2	2
OG0000606	1	1
OG0000607	1	1
OG0000608	4	3
OG0000609	1	1
OG0000610	1	1
OG0000611	1	1
OG0000612	2	2
OG0000613	1	1
OG0000614	9	4
OG0000615	5	5
OG0000616	8	7
OG0000617	3	3
OG0000618	4	2
OG0000619	1	1
OG0000620	1	1
OG0000621	4	2
OG0000622	2	1
OG0000623	1	1
OG0000624	10	8
OG0000625	6	6
OG0000626	1	1
OG0000627	1	1
OG0000628	1	1
OG0000629	6	4
OG0000630	1	1
OG0000631	0	0
OG0000632	5	4
OG0000633	1	1
OG0000634	15	13
OG0000635	1	1
OG0000636	8	7
OG0000637	4	4
OG0000638	2	1
OG0000639	1	1
OG0000640	6	5
OG0000641	6	6
OG0000642	15	11
OG0000643	7	5
OG0000644	6	3
OG0000645	13	12
OG0000646	14	12
OG0000647	1	1
OG0000648	13	12
OG0000649	16	16
OG0000650	6	4
OG0000651	3	2
OG0000652	6	4
OG0000653	4	1
OG0000654	1	1
OG0000655	4	2
OG0000656	5	5
OG0000657	7	3
OG0000658	2	1
OG0000659	5	2
OG0000660	4	2
OG0000661	8	6
OG0000662	10	9
OG0000663	1	1
OG0000664	7	3
OG0000665	4	4
OG0000666	3	2
OG0000667	10	10
OG0000668	14	11
OG0000669	8	5
OG0000670	1	1
OG0000671	5	0
OG0000672	6	5
OG0000673	1	1
OG0000674	2	1
OG0000675	9	6
OG0000676	1	1
OG0000677	1	1
OG0000678	7	5
OG0000679	1	1
OG0000680	9	6
OG0000681	1	1
OG0000682	1	1
OG0000683	6	5
OG0000684	8	8
OG0000685	9	2
OG0000686	6	6
OG0000687	7	4
OG0000688	8	4
OG0000689	7	6
OG0000690	20	20
OG0000691	1	1
OG0000692	8	4
OG0000693	4	1
OG0000694	1	1
OG0000695	9	9
OG0000696	9	8
OG0000697	1	1
OG0000698	4	3
OG0000699	9	6
OG0000700	2	2
OG0000701	8	6
OG0000702	1	1
OG0000703	5	2
OG0000704	3	2
OG0000705	9	7
OG0000706	2	1
OG0000707	5	3
OG0000708	3	1
OG0000709	5	5
OG0000710	1	1
OG0000711	1	1
OG0000712	2	1
OG0000713	6	4
OG0000714	6	2
OG0000715	9	5
OG0000716	2	0
OG0000717	5	5
OG0000718	3	3
OG0000719	6	3
OG0000720	1	1
OG0000721	5	1
OG0000722	4	0
OG0000723	6	4
OG0000724	3	1
OG0000725	9	9
OG0000726	6	3
OG0000727	8	5
OG0000728	5	3
OG0000729	12	10
OG0000730	8	6
OG0000731	3	2
OG0000732	4	3
OG0000733	3	1
OG0000734	8	6
OG0000735	2	2
OG0000736	1	1
OG0000737	7	1
OG0000738	2	2
OG0000739	8	5
OG0000740	11	9
OG0000741	4	4
OG0000742	6	5
OG0000743	8	7
OG0000744	6	6
OG0000745	9	6
OG0000746	5	3
OG0000747	5	5
OG0000748	7	6
OG0000749	11	10
OG0000750	6	3
OG0000751	14	14
OG0000752	7	6
OG0000753	7	2
OG0000754	6	4
OG0000755	3	1
OG0000756	7	5
OG0000757	8	7
OG0000758	2	2
OG0000759	4	3
OG0000760	6	5
OG0000761	8	8
OG0000762	3	3
OG0000763	4	4
OG0000764	2	2
OG0000765	3	1
OG0000766	1	1
OG0000767	1	1
OG0000768	2	1
OG0000769	3	2
OG0000770	5	3
OG0000771	1	1
OG0000772	8	7
OG0000773	1	1
OG0000774	4	0
OG0000775	2	2
OG0000776	7	6
OG0000777	3	1
OG0000778	4	1
OG0000779	2	2
OG0000780	3	2
OG0000781	7	5
OG0000782	3	1
OG0000783	3	2
OG0000784	12	12
OG0000785	2	2
OG0000786	7	5
OG0000787	2	2
OG0000788	5	2
OG0000789	6	5
OG0000790	6	3
OG0000791	5	3
OG0000792	1	0
OG0000793	5	0
OG0000794	7	4
OG0000795	2	2
OG0000796	6	4
OG0000797	2	0
OG0000798	7	7
OG0000799	7	7
OG0000800	1	1
OG0000801	1	1
OG0000802	8	3
OG0000803	4	3
OG0000804	6	3
OG0000805	6	0
OG0000806	6	4
OG0000807	6	5
OG0000808	8	5
OG0000809	1	1
OG0000810	6	5
OG0000811	4	4
OG0000812	7	3
OG0000813	6	3
OG0000814	4	3
OG0000815	2	1
OG0000816	10	7
OG0000817	12	10
OG0000818	19	19
OG0000819	2	2
OG0000820	1	1
OG0000821	2	2
OG0000822	6	1
OG0000823	2	1
OG0000824	1	1
OG0000825	1	1
OG0000826	18	18
OG0000827	6	5
OG0000828	1	1
OG0000829	14	10
OG0000830	4	1
OG0000831	4	2
OG0000832	1	1
OG0000833	3	0
OG0000834	6	5
OG0000835	4	2
OG0000836	7	7
OG0000837	3	3
OG0000838	10	8
OG0000839	7	6
OG0000840	1	1
OG0000841	1	1
OG0000842	1	1
OG0000843	2	0
OG0000844	2	2
OG0000845	5	4
OG0000846	4	3
OG0000847	4	2
OG0000848	6	2
OG0000849	3	1
OG0000850	5	3
OG0000851	1	1
OG0000852	4	1
OG0000853	6	2
OG0000854	5	3
OG0000855	5	3
OG0000856	4	2
OG0000857	7	7
OG0000858	3	3
OG0000859	3	1
OG0000860	1	1
OG0000861	5	4
OG0000862	2	2
OG0000863	3	3
OG0000864	1	1
OG0000865	5	4
OG0000866	7	7
OG0000867	1	1
OG0000868	3	2
OG0000869	6	5
OG0000870	6	4
OG0000871	5	0
OG0000872	5	1
OG0000873	6	5
OG0000874	4	2
OG0000875	5	3
OG0000876	2	2
OG0000877	12	8
OG0000878	1	1
OG0000879	7	6
OG0000880	5	3
OG0000881	6	6
OG0000882	2	1
OG0000883	3	1
OG0000884	3	1
OG0000885	4	3
OG0000886	2	1
OG0000887	7	3
OG0000888	6	2
OG0000889	7	6
OG0000890	3	2
OG0000891	4	2
OG0000892	7	7
OG0000893	4	2
OG0000894	8	5
OG0000895	6	1
OG0000896	7	5
OG0000897	1	1
OG0000898	3	3
OG0000899	7	6
OG0000900	10	10
OG0000901	3	2
OG0000902	4	3
